component,date,value,title,vintage_date,units,freq,seas_adj,updated
CUSR0000SETG01,01-10-92,157.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-11-92,164.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-12-92,165.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-01-93,170.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-02-93,174.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-03-93,173.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-04-93,172.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-05-93,176.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-06-93,174.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-07-93,179.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-08-93,179.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-09-93,180.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-10-93,180.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-11-93,188.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-12-93,193.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-01-94,191.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-02-94,191.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-03-94,195.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-04-94,192.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-05-94,182.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-06-94,182.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-07-94,184.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-08-94,187.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-09-94,185.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-10-94,179.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-11-94,177.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-12-94,175.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-01-95,179.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-02-95,181.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-03-95,188.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-04-95,191.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-05-95,191.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-06-95,200.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-07-95,199.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-08-95,191.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-09-95,189.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-10-95,193.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-11-95,191.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-12-95,178.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-01-96,179.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-02-96,188.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-03-96,187.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-04-96,187.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-05-96,189.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-06-96,192.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-07-96,192.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-08-96,190.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-09-96,196,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-10-96,200.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-11-96,200.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-12-96,204.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-01-97,198.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-02-97,192.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-03-97,201.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-04-97,204.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-05-97,201.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-06-97,199.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-07-97,203.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-08-97,194,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-09-97,198,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-10-97,205.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-11-97,197.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-12-97,194.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-01-98,200.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-02-98,206.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-03-98,210.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-04-98,210.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-05-98,205,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-06-98,200.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-07-98,207.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-08-98,207.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-09-98,206,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-10-98,205.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-11-98,200.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-12-98,202.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-01-99,206.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-02-99,211.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-03-99,221.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-04-99,225.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-05-99,220.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-06-99,209.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-07-99,223.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-08-99,217.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-09-99,213.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-10-99,224.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-11-99,226.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-12-99,224.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-01-00,221.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-02-00,230.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-03-00,240.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-04-00,239.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-05-00,241.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-06-00,245,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-07-00,246.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-08-00,250.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-09-00,244.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-10-00,236.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-11-00,238,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-12-00,238.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-01-01,239,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-02-01,242,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-03-01,238.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-04-01,235.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-05-01,237.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-06-01,249.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-07-01,248.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-08-01,244.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-09-01,242.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-10-01,236.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-11-01,230,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-12-01,229,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-01-02,236.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-02-02,235.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-03-02,233.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-04-02,234.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-05-02,237.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-06-02,231.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-07-02,227.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-08-02,230.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-09-02,228.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-10-02,225.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-11-02,227.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-12-02,230,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-01-03,228.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-02-03,228.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-03-03,230.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-04-03,229.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-05-03,230,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-06-03,231.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-07-03,232.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-08-03,233.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-09-03,233.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-10-03,234.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-11-03,232.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-12-03,230.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-01-04,232.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-02-04,232.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-03-04,231.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-04-04,230.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-05-04,227.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-06-04,224.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-07-04,223.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-08-04,220.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
